path	subsystem	kind	lines	bytes	module	import_count	test
assets/ai/behaviors/access_key.behavior.json	AI	json	240	5254		0	0
assets/ai/behaviors/access_key_jump.behavior.json	AI	json	241	5288		0	0
assets/ai/behaviors/access_key_reserved.behavior.json	AI	json	252	5629		0	0
assets/ai/behaviors/marker_visit.behavior.json	AI	json	32	683		0	0
assets/ai/behaviors/target_recovery.behavior.json	AI	json	32	690		0	0
assets/ai/bindings/access_key.bindings.json	AI	json	29	425		0	0
assets/ai/bindings/access_key_jump.bindings.json	AI	json	45	703		0	0
assets/ai/bindings/marker_visit.bindings.json	AI	json	13	182		0	0
assets/ai/bindings/target_recovery.bindings.json	AI	json	13	186		0	0
assets/ai/decisions/catalog.json	AI	json	30	869		0	0
assets/ai/goap/access_key.goap.json	AI	json	603	11024		0	0
assets/ai/goap/marker_visit.goap.json	AI	json	50	804		0	0
assets/ai/goap/target_recovery.goap.json	AI	json	50	812		0	0
assets/ai/routes/access_key.routes.json	AI	json	65	852		0	0
assets/ai/routes/access_key_jump.routes.json	AI	json	76	1033		0	0
docs/architecture/editor-ui-architecture.md	Editor	md	272	25793		0	0
docs/architecture/scene-level-editor-render-boundaries.md	Editor	md	53	2420		0	0
docs/refactor/README.md	Other	md	34	990		0	0
docs/refactor/baseline.md	Other	md	53	3461		0	0
docs/refactor/debt-register.md	Other	md	8	308		0	0
docs/refactor/master-plan.md	Other	md	747	14316		0	0
src/Animation/Assets/AnimationClip.cppm	Animation	cppm	203	4409	core:animation_clip	1	0
src/Animation/Assets/Skeleton.cppm	Animation	cppm	79	1954	core:skeleton	1	0
src/Animation/Runtime/AnimationController.cppm	Animation	cppm	354	10911	core:animation_controller	4	0
src/Animation/Runtime/AnimationController_api.inl	Animation	inl	527	18216		0	0
src/Animation/Runtime/AnimationController_detail.inl	Animation	inl	4	261		0	0
src/Animation/Runtime/AnimationController_detail_parameters_and_sampling.inl	Animation	inl	556	17710		0	0
src/Animation/Runtime/AnimationController_detail_root_motion_and_notifies.inl	Animation	inl	335	10814		0	0
src/Animation/Runtime/AnimationController_detail_runtime_state.inl	Animation	inl	183	7092		0	0
src/Animation/Runtime/AnimationController_detail_transitions_and_animators.inl	Animation	inl	140	5324		0	0
src/Animation/Runtime/AnimationController_topology.inl	Animation	inl	519	22946		0	0
src/Animation/Runtime/Animator.cppm	Animation	cppm	456	11713	core:animator	3	0
src/Animation/Serialization/AnimationControllerJson.inl	Animation	inl	248	10389		0	0
src/Animation/Serialization/AnimationProfileJson.inl	Animation	inl	49	2150		0	0
src/Animation/Serialization/Level_LoadJson_Animation.inl	Animation	inl	573	22386		0	0
src/Animation/Serialization/Level_SaveJson_Animation.inl	Animation	inl	134	4536		0	0
src/Animation/Tooling/AnimationWorkspace.cppm	Animation	cppm	207	8698	core:animation_workspace	3	0
src/App/AppArguments.cpp	App	cpp	83	2129		0	0
src/App/AppArguments.h	App	h	24	574		0	0
src/App/AppBootstrap.cpp	App	cpp	167	4882		1	0
src/App/AppBootstrap.h	App	h	38	1080		0	0
src/App/AppDebugVisualization.cpp	App	cpp	515	24981		1	0
src/App/AppDebugVisualization.h	App	h	12	232		0	0
src/App/AppLifecycle.cpp	App	cpp	732	30510		1	0
src/App/AppLifecycle.h	App	h	202	6373		0	0
src/App/AppLifecycleImpl/AppLifecycle_TickImpl.inl	App	inl	324	12008		0	0
src/App/AppNavigationCoordinator.cpp	App	cpp	91	4380		1	0
src/App/AppNavigationCoordinator.h	App	h	11	149		0	0
src/App/AppRuntimeHelpers.h	App	h	114	3019		0	0
src/App/DebugUiHost.cpp	App	cpp	366	12243		1	0
src/App/DebugUiHost.h	App	h	32	1262		0	0
src/App/Development/AppDevelopmentScenarioRuntime.cpp	App	cpp	166	5584		1	0
src/App/Development/AppDevelopmentScenarioRuntime.h	App	h	107	2288		0	0
src/App/Development/DevelopmentScenario.cpp	App	cpp	1339	77765		1	0
src/App/Development/DevelopmentScenario.h	App	h	220	7493		0	0
src/App/EditorViewportInteraction.h	App	h	8	211		0	0
src/App/EditorViewportInteraction_Core.inl	App	inl	258	8314		0	0
src/App/EditorViewportInteraction_Mouse.inl	App	inl	260	9807		0	0
src/App/EditorViewportInteraction_ParticleEmitter.inl	App	inl	121	4922		0	0
src/App/GameplayPhysicsCharacterIntegration.cpp	App	cpp	399	14429		1	0
src/App/GameplayPhysicsCharacterIntegration.h	App	h	42	1276		0	0
src/App/GameplayPhysicsObstacleQuery.h	App	h	35	1262		0	0
src/App/LevelNavigation.cppm	App	cppm	146	4374	core:level_navigation	4	0
src/App/NavigationDebugDraw.cppm	App	cppm	44	1619	core:navigation_debug_draw	3	0
src/App/Win32AppShell.cpp	App	cpp	404	11295		1	0
src/App/Win32AppShell.h	App	h	65	2001		0	0
src/Assets/AssetManager.cppm	Assets	cppm	475	14372	core:asset_manager	3	0
src/Assets/ResourceManager.ixx	Assets	ixx	5	154	core:resource_manager	3	0
src/Assets/ResourceManager_core.cppm	Assets	cppm	508	11038	core:resource_manager_core	0	0
src/Assets/ResourceManager_mesh.cppm	Assets	cppm	615	15820	core:resource_manager_mesh	7	0
src/Assets/ResourceManager_texture.cppm	Assets	cppm	547	12087	core:resource_manager_texture	1	0
src/Core/Core.ixx	Core	ixx	105	3668	core	99	0
src/Core/Hash/HashUtils.cppm	Core	cppm	72	2503	core:hash_utils	4	0
src/Core/IO/FileUtils.cppm	Core	cppm	49	979	core:file_utils	0	0
src/Core/Json/JsonUtils.cppm	Core	cppm	489	15163	core:json_utils	2	0
src/Core/Math/Geometry.cppm	Core	cppm	23	386	core:geometry	1	0
src/Core/Math/MathUtils.cppm	Core	cppm	838	24056	core:math_utils	0	0
src/Core/String/StringUtils.cppm	Core	cppm	51	1228	core:string_utils	0	0
src/Core/ThreadAffinity/ThreadAffinity.cpp	Core	cpp	264	7708	core	1	0
src/Core/ThreadAffinity/ThreadAffinity.cppm	Core	cppm	56	1782	core:thread_affinity	0	0
src/Core/ThreadAffinity/ThreadAffinityAssertions.h	Core	h	15	826		0	0
src/ECS/EnTTHelpers.cppm	ECS	cppm	21	506	core:EnTTHelpers	0	0
src/Editor/EditorCommands.cppm	Editor	cppm	83	2812	core:editor_commands	3	0
src/Editor/EditorGizmo.cppm	Editor	cppm	603	18256	core:editor_gizmo	5	0
src/Editor/EditorImpl/EditorGizmoMathShared.inl	Editor	inl	137	4054		0	0
src/Editor/EditorImpl/EditorGizmoShared.inl	Editor	inl	82	1864		0	0
src/Editor/EditorRotateGizmo.cppm	Editor	cppm	395	11657	core:editor_rotate_gizmo	5	0
src/Editor/EditorScaleGizmo.cppm	Editor	cppm	536	16295	core:editor_scale_gizmo	5	0
src/Editor/EditorSceneState.cppm	Editor	cppm	41	1222	core:editor_scene_state	2	0
src/Editor/EditorSelectionService.cppm	Editor	cppm	187	5807	core:editor_selection_service	1	0
src/Editor/Picking.cppm	Editor	cppm	286	9734	core:picking	5	0
src/Gameplay/AI/Composition/Components/GameplayGOAPMoveToComponent.cppm	AI	cppm	262	11781	core:gameplay_goap_move_to_component	10	0
src/Gameplay/AI/Composition/Components/GameplayGOAPMoveToComponentAssets.cppm	AI	cppm	37	1556	core:gameplay_goap_move_to_component_assets	1	0
src/Gameplay/AI/Composition/Components/GameplayGOAPResourceComponentAssets.cppm	AI	cppm	81	3328	core:gameplay_goap_resource_component_assets	1	0
src/Gameplay/AI/Composition/Components/GameplayGOAPResourceComponents.cppm	AI	cppm	357	15642	core:gameplay_goap_resource_components	4	0
src/Gameplay/AI/Composition/Components/GameplayGOAPSpatialComponentAssets.cppm	AI	cppm	77	3371	core:gameplay_goap_spatial_component_assets	1	0
src/Gameplay/AI/Composition/Components/GameplayGOAPSpatialComponents.cppm	AI	cppm	204	9260	core:gameplay_goap_spatial_components	4	0
src/Gameplay/AI/Composition/GameplayAIBuiltinDecisions.cppm	AI	cppm	17	554	core:gameplay_ai_builtin_decisions	3	0
src/Gameplay/AI/Composition/GameplayGOAPAssetComposition.cppm	AI	cppm	311	13583	core:gameplay_goap_asset_composition	8	0
src/Gameplay/AI/Composition/GameplayGOAPBuiltinComponents.cppm	AI	cppm	21	770	core:gameplay_goap_builtin_components	7	0
